applicant_id,DOT_category,job_norm,predicted_SOC,predicted_SOC_title,similarity_score,method,alt1_SOC,alt1_SOC_title,alt1_score,alt2_SOC,alt2_SOC_title,alt2_score,alt3_SOC,alt3_SOC_title,alt3_score
121,1.0,landscape designer,17-1012.00,landscape architects,0.5109147429466248,global_similarity,17-1012.00,landscape architects,0.5109147429466248,37-3011.00,landscaping and groundskeeping workers,0.26331600546836853,17-1011.00,architects except landscape and naval,0.24919894337654114
185,30.0,java developer,15-1252.00,software developers,0.3809318244457245,global_similarity,15-1252.00,software developers,0.3809318244457245,51-9199.00,production workers all other,0.34448206424713135,51-9161.00,computer numerically controlled tool operators,0.32813045382499695
300,12.0,associate project consultant,13-1082.00,project management specialists,0.32846155762672424,global_similarity,13-1082.00,project management specialists,0.32846155762672424,25-4012.00,curators,0.31495898962020874,13-1082.00,project management specialists,0.235468327999115
675,39.0,software engineer,15-1252.00,software developers,0.7368320226669312,global_similarity,15-1252.00,software developers,0.7368320226669312,15-1253.00,software quality assurance analysts and testers,0.5792960524559021,15-1221.00,computer and information research scientists,0.4917108118534088
902,160.0,staff accountant,13-2011.00,accountants and auditors,0.36085638403892517,global_similarity,13-2011.00,accountants and auditors,0.36085638403892517,11-1011.00,chief executives,0.0,11-1011.00,chief executives,0.0
1207,30.0,software engineer,15-1252.00,software developers,0.7368320226669312,global_similarity,15-1252.00,software developers,0.7368320226669312,15-1253.00,software quality assurance analysts and testers,0.5792960524559021,15-1221.00,computer and information research scientists,0.4917108118534088
1307,119.0,law clerk,25-1112.00,law teachers postsecondary,0.2712288498878479,global_similarity,25-1112.00,law teachers postsecondary,0.2712288498878479,23-1021.00,administrative law judges adjudicators and hearing officers,0.21146589517593384,23-1021.00,administrative law judges adjudicators and hearing officers,0.2063269019126892
1366,30.0,eclinical project leader,51-9191.00,adhesive bonding machine operators and tenders,0.24436864256858826,global_similarity,51-9191.00,adhesive bonding machine operators and tenders,0.24436864256858826,55-1016.00,infantry officers,0.22762271761894226,51-5112.00,printing press operators,0.22207608819007874
1526,30.0,technology lead us,51-1011.00,first line supervisors of production and operating workers,0.22162863612174988,global_similarity,51-1011.00,first line supervisors of production and operating workers,0.22162863612174988,51-4199.00,metal workers and plastic workers all other,0.2211146205663681,11-9041.01,biofuels biodiesel technology and product development managers,0.2152109444141388
1815,30.0,technical test lead,15-1251.00,computer programmers,0.3542865812778473,global_similarity,15-1251.00,computer programmers,0.3542865812778473,51-9161.00,computer numerically controlled tool operators,0.35068973898887634,51-9162.00,computer numerically controlled tool programmers,0.3457585275173187
