"DOT_category","dot_title_norm","SOC","soc_title_norm"
"001","architect","17-1011.00","architects except landscape and naval"
"001","architect marine","17-2121.00","marine engineers and naval architects"
"001","landscape architect","17-1012.00","landscape architects"
"001","drafter architectural","17-3011.00","architectural and civil drafters"
"002","aerodynamicist","17-2011.00","aerospace engineers"
"002","sales engineer aeronautical products","41-9031.00","sales engineers"
"002","drafter aeronautical","17-3013.00","mechanical drafters"
"002","research mechanic","17-3021.00","aerospace engineering and operations technologists and technicians"
"003","electrical engineer","17-2071.00","electrical engineers"
"003","electrical engineer","17-3023.00","electrical and electronic engineering technologists and technicians"
"003","electronics engineer","17-2061.00","computer hardware engineers"
"003","electronics engineer","17-2072.00","electronics engineers except computer"
"003","supervisor drafting and printed circuit design","17-3012.00","electrical and electronics drafters"
"003","sales engineer electrical products","41-4011.07","solar sales representatives and assessors"
"003","sales engineer electrical products","41-9031.00","sales engineers"
"003","electrical engineer power system","17-2199.10","wind energy engineers"
"003","engineer in charge transmitter","11-9041.00","architectural and engineering managers"
"003","controls designer","17-2199.08","robotics engineers"
"003","controls designer","17-3013.00","mechanical drafters"
"005","airport engineer","17-2051.00","civil engineers"
"005","transportation engineer","17-2051.01","transportation engineers"
"005","waste management engineer radioactive materials","17-2161.00","nuclear engineers"
"005","chief engineer waterworks","11-9041.00","architectural and engineering managers"
"005","chief engineer waterworks","17-2051.02","water wastewater engineers"
"005","civil engineering technician","17-3022.00","civil engineering technologists and technicians"
"005","drafter civil","17-3011.00","architectural and civil drafters"
"006","ceramic design engineer","17-2131.00","materials engineers"
"006","sales engineer ceramic products","41-9031.00","sales engineers"
"006","scientific glass blower","51-9195.04","glass blowers molders benders and finishers"
"007","automotive engineer","17-2141.01","fuel cell engineers"
"007","automotive engineer","17-2141.02","automotive engineers"
"007","mechanical engineer","17-2141.00","mechanical engineers"
"007","mechanical engineer","17-2199.08","robotics engineers"
"007","mechanical engineer","17-3024.00","electro mechanical and mechatronics technologists and technicians"
"007","mechanical engineer","17-3027.00","mechanical engineering technologists and technicians"
"007","applications engineer manufacturing","17-2199.05","mechatronics engineers"
"007","sales engineer mechanical equipment","41-9031.00","sales engineers"
"007","die designer","17-3013.00","mechanical drafters"
"007","solar energy systems designer","17-2199.11","solar energy systems engineers"
"007","plant engineer","11-9041.00","architectural and engineering managers"
"007","tool programmer numerical control","51-9162.00","computer numerically controlled tool programmers"
"007","chief drafter","17-3019.00","drafters all other"
"008","absorption and adsorption engineer","17-2041.00","chemical engineers"
"008","chemical engineer","17-2031.00","bioengineers and biomedical engineers"
"008","chemical equipment sales engineer","41-9031.00","sales engineers"
"008","technical director chemical plant","11-9121.00","natural sciences managers"
"008","chemical engineering technician","19-4031.00","chemical technicians"
"010","design engineer mining and oil field equipment","17-2151.00","mining and geological engineers including mining safety engineers"
"010","design engineer mining and oil field equipment","17-2171.00","petroleum engineers"
"010","well logging captain mud analysis","19-4043.00","geological technicians except hydrologic technicians"
"010","sales engineer mining and oil well equipment and services","41-9031.00","sales engineers"
"010","chief petroleum engineer","11-9041.00","architectural and engineering managers"
"010","drafter directional survey","17-3011.00","architectural and civil drafters"
"011","foundry metallurgist","17-2131.00","materials engineers"
"011","supervisor metallurgical and quality control testing","17-2112.00","industrial engineers"
"011","metallurgical technician","17-3028.00","calibration technologists and technicians"
"011","metallurgical technician","17-3029.00","engineering technologists and technicians except drafters all other"
"011","nondestructive tester","17-3029.01","non destructive testing specialists"
"012","product safety engineer","17-2111.00","health and safety engineers except mining safety engineers and inspectors"
"012","standards engineer","17-2112.00","industrial engineers"
"012","fire prevention research engineer","17-2111.02","fire prevention and protection engineers"
"012","industrial engineer","17-3026.00","industrial engineering technologists and technicians"
"012","manufacturing engineer","17-2112.03","manufacturing engineers"
"012","quality control engineer","17-2112.02","validation engineers"
"012","air analyst","17-3025.00","environmental engineering technologists and technicians"
"012","air analyst","19-4042.00","environmental science and protection technicians including health"
"012","quality control technician","19-4099.01","quality control analysts"
"013","agricultural engineer","17-2021.00","agricultural engineers"
"013","sales engineer agricultural equipment","41-9031.00","sales engineers"
"013","agricultural engineering technician","17-3028.00","calibration technologists and technicians"
"013","agricultural engineering technician","17-3029.00","engineering technologists and technicians except drafters all other"
"014","design engineer marine equipment","17-2121.00","marine engineers and naval architects"
"014","sales engineer marine equipment","41-9031.00","sales engineers"
"014","drafter marine","17-3011.00","architectural and civil drafters"
"015","health physicist","19-2012.00","physicists"
"015","design engineer nuclear equipment","17-2161.00","nuclear engineers"
"015","sales engineer nuclear equipment","41-9031.00","sales engineers"
"015","chemical radiation technician","19-4051.02","nuclear monitoring technicians"
"015","accelerator operator","19-4051.00","nuclear technicians"
"017","drafter chief design","17-3019.00","drafters all other"
"017","auto design checker","17-3027.01","automotive engineering technicians"
"017","design drafter electromechanisms","17-3012.00","electrical and electronics drafters"
"017","detailer","17-3013.00","mechanical drafters"
"017","drafter commercial","17-3011.00","architectural and civil drafters"
"017","taper printed circuit layout","51-9161.00","computer numerically controlled tool operators"
"017","taper printed circuit layout","51-9162.00","computer numerically controlled tool programmers"
"017","taper printed circuit layout","51-9199.00","production workers all other"
"018","supervisor cartography","17-1021.00","cartographers and photogrammetrists"
"018","surveyor mine","17-1022.00","surveyors"
"018","chief of party","17-3031.00","surveying and mapping technicians"
"018","manager land surveying","11-9041.00","architectural and engineering managers"
"018","photogrammetric engineer","19-2099.01","remote sensing scientists and technologists"
"018","surveyor geodetic","17-1022.01","geodetic surveyors"
"019","biomedical engineer","17-2031.00","bioengineers and biomedical engineers"
"019","biomedical engineer","17-2199.00","engineers all other"
"019","materials engineer","17-2131.00","materials engineers"
"019","geographic information system specialist","13-1082.00","project management specialists"
"019","geographic information system specialist","15-1255.00","web and digital interface designers"
"019","geographic information system specialist","15-1299.00","computer occupations all other"
"019","geographic information system specialist","15-1299.02","geographic information systems technologists and technicians"
"019","pollution control engineer","17-2081.00","environmental engineers"
"019","supervisor estimator and drafter","17-3012.00","electrical and electronics drafters"
"019","test technician","51-4041.00","machinists"
"019","logistics engineer","13-1081.01","logistics engineers"
"019","project engineer","11-9041.00","architectural and engineering managers"
"019","project engineer","11-9041.01","biofuels biodiesel technology and product development managers"
"019","resource recovery engineer","17-2051.00","civil engineers"
"019","biomedical equipment technician","49-9062.00","medical equipment repairers"
"019","facility planner","17-3022.00","civil engineering technologists and technicians"
